squadra,totale_gol,totale_gol_subiti,media_gol_segnati,media_gol_subiti,totale_partite,vittorie,pareggi,sconfitte,% vittorie,% pareggi,% sconfitte,differenza_reti,punti,anno
Udinese,39,53,1.0263157894736843,1.394736842105263,38,11,10,17,28.947368421052637,26.31578947368421,44.73684210526316,-14,43,2019
Sassuolo,53,60,1.394736842105263,1.5789473684210529,38,9,16,13,23.684210526315788,42.10526315789473,34.21052631578947,-7,43,2019
Spal,44,56,1.1578947368421053,1.4736842105263157,38,11,9,18,28.947368421052637,23.684210526315788,47.368421052631575,-12,42,2019
Cagliari,36,54,0.9473684210526316,1.4210526315789471,38,10,11,17,26.31578947368421,28.947368421052637,44.73684210526316,-18,41,2019
Fiorentina,47,45,1.236842105263158,1.1842105263157894,38,8,17,13,21.052631578947366,44.73684210526316,34.21052631578947,2,41,2019
Parma,41,61,1.0789473684210529,1.605263157894737,38,10,11,17,26.31578947368421,28.947368421052637,44.73684210526316,-20,41,2019
Genoa,39,57,1.0263157894736843,1.5,38,8,14,16,21.052631578947366,36.84210526315789,42.10526315789473,-18,38,2019
Empoli,51,70,1.3421052631578947,1.8421052631578947,38,10,8,20,26.31578947368421,21.052631578947366,52.63157894736842,-19,38,2019
Frosinone,29,69,0.7631578947368421,1.8157894736842104,38,5,10,23,13.157894736842104,26.31578947368421,60.526315789473685,-40,25,2019
Chievo,25,75,0.6578947368421053,1.973684210526316,38,2,14,22,5.263157894736842,36.84210526315789,57.89473684210527,-50,20,2019
Juventus,76,43,2.0,1.131578947368421,38,26,5,7,68.42105263157895,13.157894736842104,18.421052631578945,33,83,2020
Inter,81,36,2.131578947368421,0.9473684210526316,38,24,10,4,63.1578947368421,26.31578947368421,10.526315789473683,45,82,2020
Atalanta,98,48,2.5789473684210527,1.263157894736842,38,23,9,6,60.526315789473685,23.684210526315788,15.789473684210526,50,78,2020
Lazio,79,42,2.0789473684210527,1.105263157894737,38,24,6,8,63.1578947368421,15.789473684210526,21.052631578947366,37,78,2020
Roma,77,51,2.026315789473684,1.3421052631578947,38,21,7,10,55.26315789473685,18.421052631578945,26.31578947368421,26,70,2020
Milan,63,46,1.6578947368421053,1.2105263157894737,38,19,9,10,50.0,23.684210526315788,26.31578947368421,17,66,2020
