giocatore,squadra,gol_totali,anno
Valoti Mattia,Verona,3,2018
Matuidi Blaise,Juventus,3,2018
De Roon Marten,Atalanta,3,2018
Vecino Matías,Inter,3,2018
Okwonkwo Orji,Bologna,3,2018
Ceppitelli Luca,Cagliari,3,2018
Cerci Alessio,Verona,3,2018
Caldara Mattia,Atalanta,3,2018
Hetemaj Perparim,Chievo,3,2018
Fofana Seko Mohamed,Udinese,3,2018
Caicedo Felipe,Lazio,3,2018
Tumminello Marco,Crotone,3,2018
Albiol Raul,Napoli,3,2018
Lulic Senad,Lazio,3,2018
Laxalt Diego,Genoa,3,2018
Widmer Silvan,Udinese,3,2018
Ramirez Gaston,Sampdoria,3,2018
Romulo Orestes,Verona,3,2018
Galabinov Andrej,Genoa,3,2018
Birsa Valter,Chievo,3,2018
Linetty Karol,Sampdoria,3,2018
Giaccherini Emanuele,Chievo,3,2018
Nani Luis Carlos,Lazio,3,2018
Pellegrini Lorenzo,Roma,3,2018
Ranocchia Andrea,Inter,2,2018
Ghoulam Faouzi,Napoli,2,2018
Thereau Cyril,Udinese,2,2018
Bonucci Leonardo,Milan,2,2018
Donsah Godfred,Bologna,2,2018
Viola Nicolas Benito,Benevento,2,2018
Cacciatore Fabrizio,Chievo,2,2018
Poli Andrea,Bologna,2,2018
Barberis Andrea,Crotone,2,2018
Taarabt Adel,Genoa,2,2018
Verde Daniele,Verona,2,2018
De Maio Sebastien,Bologna,2,2018
Babacar Khouma,Sassuolo,2,2018
Dias Gil,Fiorentina,2,2018
Lucas Leiva,Lazio,2,2018
Borja Valero Iglesias,Inter,2,2018
Zuculini Bruno,Verona,2,2018
Mario Rui Silva Duarte,Napoli,2,2018
Samir De Souza Santos,Udinese,2,2018
Ferrari Gian Marco,Sampdoria,2,2018
Kurtic Jasmin,Atalanta,2,2018
Rugani Daniele,Juventus,2,2018
Pucciarelli Manuel,Chievo,2,2018
Faragò Paolo Pancrazio,Cagliari,2,2018
Rigoni Luca,Genoa,2,2018
Gerson Da Silva,Roma,2,2018
Rafinha Rafael Alcantara,Inter,2,2018
Cigarini Luca,Cagliari,2,2018
Rohden Marcus,Crotone,2,2018
N'Koulou Nicolas,Torino,2,2018
Ciciretti Amato,Benevento,2,2018
Mandragora Rolando,Crotone,2,2018
Badelj Milan,Fiorentina,2,2018
Rizzo Luca,SPAL,2,2018
Bessa Daniel,Genoa,2,2018
Fazio Federico,Roma,2,2018
Faraoni Davide,Crotone,2,2018
D'Ambrosio Danilo,Inter,2,2018
Kolarov Aleksandar,Roma,2,2018
Benatia Mehdi,Juventus,2,2018
Stoian Adrian,Crotone,2,2018
Jorginho Filho,Napoli,2,2018
Sensi Stefano,Sassuolo,2,2018
Caracciolo Antonio,Verona,2,2018
Sau Marco,Cagliari,2,2018
Lazzari Manuel,SPAL,2,2018
Romagnoli Alessio,Milan,2,2018
Schick Patrik,Roma,2,2018
Medeiros Iuri,Genoa,2,2018
Iemmello Pietro,Benevento,2,2018
Pellegri Pietro,Genoa,2,2018
Borini Fabio,Milan,2,2018
André Silva Valente Miguel,Milan,2,2018
Falcinelli Diego,Sassuolo,2,2018
Guilherme Costa Marques,Benevento,2,2018
Manolas Kostantinos,Roma,2,2018
Maxi Lopez Gastón,Udinese,2,2018
Felipe Dias da Silva,SPAL,1,2018
Silvestre Matias Agustin,Sampdoria,1,2018
Ceccherini Federico,Crotone,1,2018
Sagna Bacary,Benevento,1,2018
Nuytinck Bram,Udinese,1,2018
Rog Marko,Napoli,1,2018
Letizia Gaetano,Benevento,1,2018
Lazaar Achraf,Benevento,1,2018
Biraghi Cristiano,Fiorentina,1,2018
Veloso Miguel Luis,Genoa,1,2018
Florenzi Alessandro,Roma,1,2018
Falletti Cesar Alejandro,Bologna,1,2018
Bertolacci Andrea,Genoa,1,2018
Berenguer Alejandro,Torino,1,2018
Barreto Edgar Osvaldo,Sampdoria,1,2018
Cancelo Joao,Inter,1,2018
Peluso Federico,Sassuolo,1,2018
Rossi Giuseppe,Genoa,1,2018
Lukaku Jordan,Lazio,1,2018
Sandro Raniere Guimaraes Cordeiro,Benevento,1,2018
Brignoli Alberto,Benevento,1,2018
Mancini Gianluca,Atalanta,1,2018
Strootman Kevin,Roma,1,2018
Perica Stipe,Udinese,1,2018
Behrami Valon,Udinese,1,2018
Praet Dennis,Sampdoria,1,2018
Mbaye Ibrahima,Bologna,1,2018
Dabo Bryan,Fiorentina,1,2018
Cionek Thiago,SPAL,1,2018
Acquah Afriyie,Torino,1,2018
Izzo Armando,Genoa,1,2018
Farias Diego,Cagliari,1,2018
Schiattarella Pasquale,SPAL,1,2018
